"ID","Metabolites and Genes in time 24 samples"
"pos_975","Flavine mononucleotide (FMN)"
"pos_963","Pyridoxamine-5'-Phosphate"
"pos_953","CARBACHOL"
"pos_917","L-Aspartic Acid"
"pos_91","D-2-Aminobutyric acid"
"pos_891","PS(18:0/18:1(9Z))[U]"
"pos_838","Fosfomycin calcium"
"pos_809","L-Tryptophan"
"pos_789","NADIDE"
"pos_773","3'-Phosphoadenylyl sulfate (PAPS)"
"pos_719","Adenosine triphosphate (ATP)"
"pos_633","t-4-AMINOCROTONIC ACID (TACA)"
"pos_558","Nicotinamide Adenine Dinucleotide Phosphate (NADP+)"
"pos_524","GUANOSINE-5'-DIPHOSPHATE SODIUM SALT"
"pos_465","NIPECOTIC ACID"
"pos_462","Hypoxanthine"
"pos_450","Inulin"
"pos_344","D-GLUTAMIC ACID"
"pos_332","Uric acid"
"pos_22","TROMETHAMINE"
"pos_216","Flavin adenine dinucleotide (FAD)"
"pos_1503","dexpanthenol"
"pos_1443","Raffinose"
"pos_1437","Maleamic acid"
"pos_1410","8-METHYLCAFFEINE"
"pos_141","Pyrroline hydroxycarboxylic acid"
"pos_1375","3-Bromosulfolane"
"pos_135","1,3-Dipropyl-7-methylxanthine"
"pos_1328","7-HYDROXYETHYLTHEOPHYLLINE"
"pos_1310","Suprofen"
"pos_1266","(Z)-1-(Methylthio)-5-phenyl-1-penten-3-yne"
"pos_1223","D-Glucose 6-phosphate"
"pos_1178","cyclic adenosine diphosphate ribose"
"pos_1003","KAPA"
"p5543","Epicatechin 3-O-(3-O-methylgallate)"
"p5414","Sinalbin"
"p5121","ADP-D-glycero-D-manno-heptose"
"p5081","NADP+"
"p4780","PC(34:5)"
"p4219","L-Lysine"
"p4027","PC(34:4)"
"p3097","5-Oxoavermectin ''1b'' aglycone"
"p3096","Lithocholate3-O-glucuronide"
"p2862","PS(38:0)"
"p2857","PC(15:0/20:2(11Z,14Z))"
"p2717","Avermectin B1b aglycone"
"p1904","PC(32:2)"
"p1835","13-14-DihydroPGF-1a"
"p1651","Spinoside A"
"p1631","PC(32:1)"
"p1174","L-Carnitine"
"neg_729","Phosphoric acid"
"neg_675","Sulfoacetic acid"
"neg_494","Iodoacetic acid"
"neg_488","Liquid thiophthene"
"neg_485","Gluconic acid"
"neg_474","Dimethylenetriurea"
"neg_465","3-Deoxy-D-manno-octulosonate"
"neg_438","2-Deoxyribofuranose 1-phosphate"
"neg_35","Glutamate"
"neg_330","Leucrose"
"neg_317","ADP-ribose"
"neg_292","Methyl 2-propenyl selenide"
"neg_289","Guanosine 5&prime;-diphosphate (GDP)"
"neg_266","Xanthine"
"neg_253","Succinic acid"
"neg_218","Pyrophosphate"
"neg_145","PE-NMe(16:0/18:1(9Z))[U]"
"neg_140","cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide"
"neg_116","Deoxyguanosine diphosphate (dGDP)"
"n673","3-O-Mycarosylerythronolide B"
"n2964","ADP"
"n2133","[LysoPC(14:1)] 1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine"
"n2086","AMP"
"n2058","PE(18:1(9Z)/15:0)"
"n1666","LysoPC(16:1)"
"n1143","Urate"
"gene.Y880_RS27670","madL"
"gene.Y880_RS25780","purE"
"gene.Y880_RS25505","betA"
"gene.Y880_RS24800","rho"
"gene.Y880_RS22710","yciH"
"gene.Y880_RS21165","obgE"
"gene.Y880_RS18225","lipA"
"gene.Y880_RS17880","cydB"
"gene.Y880_RS16255","mutS"
"gene.Y880_RS15780","grxD"
"gene.Y880_RS15490","rarD"
"gene.Y880_RS14835","flgA"
"gene.Y880_RS13070","fadB"
"gene.Y880_RS13065","fadA"
"gene.Y880_RS12855","sppA"
"gene.Y880_RS10760","queD"
"gene.Y880_RS06375","nfuA"
"gene.Y880_RS06130","clpP"
"gene.Y880_RS04385","ccmI"
"gene.Y880_RS04350","ccmB"
"gene.Y880_RS04235","flhF"
"gene.Y880_RS04230","flhA"
"gene.Y880_RS04205","fliQ"
"gene.Y880_RS04200","fliP"
"gene.Y880_RS04190","fliN"
"gene.Y880_RS03485","cyoA"
"gene.Y880_RS02330","fliS"
"gene.Y880_RS01690","queC"
"gene.Y880_RS00875","ssrA"
